,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Air Movement Preference,User Id,Condition
122,NV,29.003220650000003,76.104175,0.04,29.85,94.0,54.0,More,39.0,16.0
123,AC,25.4869926,73.397505,0.19,25.9,88.0,61.0,No Change,39.0,3.0
124,NV,28.5028057,73.71183289999999,0.24,29.3,94.0,55.0,More,41.0,17.0
125,AC,25.4883105,73.39035000000001,0.21,25.85,88.0,61.6148999,No Change,38.0,3.0
126,NV,27.28426425,77.54482999999999,0.08,28.1,90.0,57.89679308,More,30.0,16.0
127,NV,27.5859369,76.22223275,0.58,28.55,88.82535889,59.0,No Change,51.0,19.0
128,NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,Less,10.0,19.0
129,NV,29.07201785,73.97003555,0.06,30.05,92.0,56.0,More,55.0,16.0
130,AC,29.2042246,76.43486999999999,0.48,30.0,87.63262761,58.0,More,14.0,4.0
131,AC,25.12966155,67.89088000000001,0.35,25.65,95.0,53.0,Less,36.0,4.0
132,NV,29.7756462,71.74289305,0.13,30.4,92.0,55.0,More,58.0,17.0
133,NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,No Change,11.0,19.0
134,NV,26.7251539,74.8342,0.77,27.65,90.0,63.0,No Change,32.0,18.0
135,NV,29.80188655,70.9149377,0.77,30.45,92.0,54.0,More,56.0,18.0
136,NV,27.752233500000003,80.19243205000001,0.27,28.700000000000003,87.0,67.0,No Change,10.0,17.0
137,AC,25.50149345,73.650155,0.15,25.950000000000003,88.61356048,60.0,More,40.0,3.0
138,AC,25.534716600000003,76.0189478,0.07,26.55,92.0,56.0,More,35.0,2.0
139,AC,25.46557855,77.5171,0.09,26.05,89.0,63.0,More,58.0,2.0
140,AC,25.58443,72.9034225,0.61,26.3,89.0,52.86264799,No Change,53.0,4.0
141,NV,28.3860197,74.00213,0.85,29.3,92.0,55.0,Less,58.0,19.0
142,NV,28.21353055,78.44533000000001,1.12,29.15,91.0,58.0,Less,32.0,16.0
143,NV,28.58662635,65.6599693,0.87,29.35,93.0,44.27907385,No Change,48.0,18.0
144,NV,27.98451805,80.74121305,0.19,28.8,87.28795519,66.0,More,8.0,17.0
145,AC,25.4624636,64.32089210000001,0.79,26.3,89.0,58.0,No Change,49.0,4.0
146,AC,25.99755285,75.6160202,0.42,26.45,87.0,64.0,More,59.0,4.0
147,AC,24.94346715,68.3360921,0.04,25.9,89.0,61.0,No Change,12.0,1.0
