,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability,User Id,Condition
200,AC,28.02454665,70.03412209999999,0.45,29.3,90.0,59.0,Acceptable,38.0,4.0
201,AC,25.6716576,70.307565,0.16,26.95,89.0,54.14322106,Acceptable,54.0,2.0
202,AC,25.7184444,61.3057957,0.09,25.95,91.0,56.0,Acceptable,16.0,2.0
203,AC,25.57991885,66.15097895,0.09,26.15,91.0,57.0,Acceptable,14.0,1.0
204,NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,Unacceptable,41.0,17.0
205,AC,24.97546195,67.8532773,0.03,25.700000000000003,89.0,63.0,Acceptable,41.0,2.0
206,NV,29.15743545,74.25272,0.07,29.9,90.0,59.0,Unacceptable,17.0,16.0
207,AC,25.58443,72.9034225,0.61,26.3,89.0,52.86264799,Acceptable,49.0,4.0
208,AC,26.4455595,74.30932,0.25,26.95,93.0,54.0,Acceptable,35.0,3.0
209,AC,25.06855485,71.67338215000001,0.11,26.3,92.0,56.0,Acceptable,32.0,1.0
210,NV,28.7493633,68.83581000000001,0.48,29.65,93.0,49.0,Acceptable,48.0,17.0
211,AC,24.50745225,63.892345,0.03,25.6,92.0,54.03616543,Acceptable,59.0,1.0
212,NV,27.752233500000003,80.19243205000001,0.27,28.700000000000003,87.0,67.0,Acceptable,7.0,17.0
213,AC,24.94346715,68.3360921,0.04,25.9,89.0,61.0,Acceptable,12.0,1.0
214,AC,24.10182595,65.3353073,0.11,25.5,90.0,63.0,Acceptable,42.0,1.0
215,NV,27.89164355,80.28480775,0.26,28.75,87.0,67.0,Acceptable,11.0,17.0
