Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
NV,28.3574657,78.53474715,0.03,29.35,91.0,58.0,Cooler,31.0,17.0
NV,28.91536045,77.2558899,0.07,29.65,90.0,62.0,Cooler,24.0,16.0
AC,25.05597705,75.97229,0.08,25.9,91.0,58.0,Cooler,30.0,1.0
AC,24.6059084,61.2483838,0.12,25.75,90.0,55.0,No Change,51.0,1.0
AC,24.94427,68.71313,0.06,25.85,89.0,61.0,No Change,10.0,1.0
AC,25.269263950000003,70.51651765,0.1,26.4,83.0,73.0,Cooler,6.0,1.0
AC,25.6685343,70.25001710000001,0.61,26.1,91.0,56.0,No Change,25.0,4.0
NV,28.11153,76.09382500000001,0.06,29.0,90.0,58.0,Cooler,30.0,16.0
NV,28.15192415,75.85681,0.11,29.0,90.0,58.89537514,Cooler,28.0,16.0
NV,27.413105,76.757495,1.35,28.35,88.0,61.17269679,No Change,50.0,19.0
NV,28.34041365,74.849875,0.07,29.2,91.0,58.0,No Change,28.0,17.0
AC,23.43789155,66.086117,0.14,24.65,89.0,65.0,No Change,48.0,1.0
AC,25.5167483,76.30568285000001,0.81,26.0,89.0,59.0,No Change,38.0,4.0
AC,26.0074838,73.20605499999999,0.9,26.75,91.0,57.0,No Change,60.0,4.0
AC,25.05919145,71.16364999999999,0.21,26.05,91.0,57.0,No Change,31.0,1.0
AC,25.4722252,69.419885,0.55,26.15,87.0,65.0,Warmer,19.0,4.0
NV,28.5629034,77.64685,0.12,29.700000000000003,91.0,58.0,No Change,33.0,17.0
NV,28.86610715,75.04375289999999,0.3,29.85,90.0,59.0,Cooler,17.0,17.0
NV,29.401518000000003,73.42459,0.04,30.3,92.0,55.0,Cooler,60.0,16.0
NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Cooler,40.0,18.0
AC,25.30559445,75.1471522,0.49,25.85,94.0,52.0,Warmer,35.0,4.0
NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,Cooler,48.0,16.0
AC,25.33995055,69.89223785,1.02,25.75,91.0,60.0,Warmer,48.0,4.0
NV,29.16582205,75.45753500000001,0.95,30.0,91.0,58.0,Cooler,39.0,19.0
AC,25.3866665,67.38667774999999,0.1,25.8,91.0,56.19074627,Cooler,25.0,3.0
NV,29.8114805,71.02696499999999,0.15,30.5,92.0,54.0,Cooler,60.0,17.0
AC,24.7260895,62.652446,0.06,25.4,83.0,73.0,Cooler,4.0,2.0
AC,25.77627795,82.95664500000001,0.2,26.450000000000003,94.46253801,51.0,No Change,32.0,4.0
AC,25.7659015,74.31389999999999,0.25,26.3,90.0,59.05209725,No Change,59.0,3.0
AC,25.27756195,67.9945975,0.23,26.3,90.0,59.0,No Change,37.0,3.0
NV,27.98451805,80.74121305,0.19,28.8,87.28795519,66.0,No Change,11.0,17.0
AC,24.87424925,66.87863,0.02,25.55,90.0,64.0,No Change,43.0,2.0
AC,25.6632469,76.27038,0.44,26.25,90.0,58.0,No Change,55.0,3.0
NV,28.21353055,78.44533000000001,1.12,29.15,91.0,58.0,No Change,32.0,16.0
AC,24.89887235,69.08858000000001,0.17,25.8,93.0,55.0,Warmer,33.0,3.0
AC,26.07436085,60.6611691,0.09,26.95,90.0,56.0,Cooler,17.0,2.0
NV,28.70465705,74.40958499999999,0.12,29.65,92.0,55.0,Warmer,57.0,16.0
NV,27.3822107,77.68903,0.44,28.25,90.0,62.0,No Change,36.0,18.0
AC,24.60210785,71.29817785,0.03,25.35,87.0,65.0,Cooler,24.0,1.0
AC,25.2350195,67.90704500000001,0.09,26.15,90.0,60.0,No Change,37.0,3.0
NV,29.0910797,75.31185500000001,0.21,29.95,92.0,56.0,Cooler,35.0,19.0
AC,25.40800285,68.41628,0.04,26.3,90.0,60.0,Cooler,41.0,3.0
NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,No Change,31.0,18.0
AC,26.22435675,78.84082000000001,0.53,27.35,83.0,73.0,Cooler,6.0,2.0
AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,No Change,54.0,4.0
NV,27.55629415,80.609325,0.77,28.700000000000003,87.29273694,63.29273694,Cooler,10.0,18.0
AC,25.28062725,69.71822789999999,0.19,26.3,89.0,61.0,Cooler,7.0,1.0
