"Title Comment",""
"Model","LR8515"
"Serial No.","180345475"
"Identify Name","180345475"
"Recording Interval[s]","+6.000000000E+01"
"Trigger Time","2023/09/28 19:10:22.000"

"Channel","Input Type","Range","Scaling Settings","Scaling Conversion Ratio","Scaling Offset"
"CH1-1","Thermocouple","1000C","OFF","",""

"Time","CH1-1[C]"
"2023/09/28 23:18:22.000","+2.88000E+01"
"2023/09/28 23:19:22.000","+2.88000E+01"
"2023/09/28 23:20:22.000","+2.88000E+01"
"2023/09/28 23:21:22.000","+2.88000E+01"
"2023/09/28 23:22:22.000","+2.88000E+01"
"2023/09/28 23:23:22.000","+2.88000E+01"
"2023/09/28 23:24:22.000","+2.88000E+01"
"2023/09/28 23:25:22.000","+2.88000E+01"
"2023/09/28 23:26:22.000","+2.88000E+01"
"2023/09/28 23:27:22.000","+2.88000E+01"
"2023/09/28 23:28:22.000","+2.88000E+01"
"2023/09/28 23:29:22.000","+2.88000E+01"
"2023/09/28 23:30:22.000","+2.88000E+01"
"2023/09/28 23:31:22.000","+2.88000E+01"
"2023/09/28 23:32:22.000","+2.88000E+01"
"2023/09/28 23:33:22.000","+2.88000E+01"
"2023/09/28 23:34:22.000","+2.88000E+01"
"2023/09/28 23:35:22.000","+2.88000E+01"
"2023/09/28 23:36:22.000","+2.88000E+01"
"2023/09/28 23:37:22.000","+2.88000E+01"
"2023/09/28 23:38:22.000","+2.88000E+01"
"2023/09/28 23:39:22.000","+2.88000E+01"
"2023/09/28 23:40:22.000","+2.88000E+01"
"2023/09/28 23:41:22.000","+2.88000E+01"
"2023/09/28 23:42:22.000","+2.88000E+01"
"2023/09/28 23:43:22.000","+2.88000E+01"
"2023/09/28 23:44:22.000","+2.88000E+01"
"2023/09/28 23:45:22.000","+2.88000E+01"
"2023/09/28 23:46:22.000","+2.88000E+01"
"2023/09/28 23:47:22.000","+2.88000E+01"
"2023/09/28 23:48:22.000","+2.88000E+01"
"2023/09/28 23:49:22.000","+2.88000E+01"
"2023/09/28 23:50:22.000","+2.88000E+01"
"2023/09/28 23:51:22.000","+2.88000E+01"
"2023/09/28 23:52:22.000","+2.88000E+01"
"2023/09/28 23:53:22.000","+2.88000E+01"
"2023/09/28 23:54:22.000","+2.88000E+01"
"2023/09/28 23:55:22.000","+2.88000E+01"
"2023/09/28 23:56:22.000","+2.88000E+01"
"2023/09/28 23:57:22.000","+2.88000E+01"
"2023/09/28 23:58:22.000","+2.87000E+01"
"2023/09/28 23:59:22.000","+2.88000E+01"
"2023/09/29 00:00:22.000","+2.88000E+01"
"2023/09/29 00:01:22.000","+2.88000E+01"
"2023/09/29 00:02:22.000","+2.88000E+01"
"2023/09/29 00:03:22.000","+2.88000E+01"
"2023/09/29 00:04:22.000","+2.88000E+01"
"2023/09/29 00:05:22.000","+2.88000E+01"
"2023/09/29 00:06:22.000","+2.88000E+01"
"2023/09/29 00:07:22.000","+2.88000E+01"
"2023/09/29 00:08:22.000","+2.88000E+01"
"2023/09/29 00:09:22.000","+2.88000E+01"
"2023/09/29 00:10:22.000","+2.88000E+01"
"2023/09/29 00:11:22.000","+2.88000E+01"
"2023/09/29 00:12:22.000","+2.88000E+01"
"2023/09/29 00:13:22.000","+2.88000E+01"
"2023/09/29 00:14:22.000","+2.88000E+01"
"2023/09/29 00:15:22.000","+2.88000E+01"
"2023/09/29 00:16:22.000","+2.88000E+01"
"2023/09/29 00:17:22.000","+2.88000E+01"
"2023/09/29 00:18:22.000","+2.88000E+01"
"2023/09/29 00:19:22.000","+2.88000E+01"
"2023/09/29 00:20:22.000","+2.88000E+01"
"2023/09/29 00:21:22.000","+2.88000E+01"
"2023/09/29 00:22:22.000","+2.88000E+01"
"2023/09/29 00:23:22.000","+2.88000E+01"
"2023/09/29 00:24:22.000","+2.88000E+01"
"2023/09/29 00:25:22.000","+2.88000E+01"
"2023/09/29 00:26:22.000","+2.88000E+01"
"2023/09/29 00:27:22.000","+2.88000E+01"
"2023/09/29 00:28:22.000","+2.88000E+01"
"2023/09/29 00:29:22.000","+2.88000E+01"
"2023/09/29 00:30:22.000","+2.88000E+01"
"2023/09/29 00:31:22.000","+2.88000E+01"
"2023/09/29 00:32:22.000","+2.88000E+01"
"2023/09/29 00:33:22.000","+2.88000E+01"
"2023/09/29 00:34:22.000","+2.88000E+01"
"2023/09/29 00:35:22.000","+2.88000E+01"
"2023/09/29 00:36:22.000","+2.88000E+01"
"2023/09/29 00:37:22.000","+2.88000E+01"
"2023/09/29 00:38:22.000","+2.88000E+01"
"2023/09/29 00:39:22.000","+2.88000E+01"
"2023/09/29 00:40:22.000","+2.88000E+01"
"2023/09/29 00:41:22.000","+2.88000E+01"
"2023/09/29 00:42:22.000","+2.88000E+01"
"2023/09/29 00:43:22.000","+2.88000E+01"
"2023/09/29 00:44:22.000","+2.88000E+01"
"2023/09/29 00:45:22.000","+2.88000E+01"
"2023/09/29 00:46:22.000","+2.88000E+01"
"2023/09/29 00:47:22.000","+2.88000E+01"
"2023/09/29 00:48:22.000","+2.88000E+01"
"2023/09/29 00:49:22.000","+2.88000E+01"
"2023/09/29 00:50:22.000","+2.88000E+01"
"2023/09/29 00:51:22.000","+2.88000E+01"
"2023/09/29 00:52:22.000","+2.88000E+01"
"2023/09/29 00:53:22.000","+2.88000E+01"
"2023/09/29 00:54:22.000","+2.88000E+01"
"2023/09/29 00:55:22.000","+2.88000E+01"
"2023/09/29 00:56:22.000","+2.88000E+01"
"2023/09/29 00:57:22.000","+2.88000E+01"
"2023/09/29 00:58:22.000","+2.87000E+01"
"2023/09/29 00:59:22.000","+2.88000E+01"
"2023/09/29 01:00:22.000","+2.88000E+01"
"2023/09/29 01:01:22.000","+2.88000E+01"
"2023/09/29 01:02:22.000","+2.88000E+01"
"2023/09/29 01:03:22.000","+2.88000E+01"
"2023/09/29 01:04:22.000","+2.88000E+01"
"2023/09/29 01:05:22.000","+2.88000E+01"
"2023/09/29 01:06:22.000","+2.88000E+01"
"2023/09/29 01:07:22.000","+2.88000E+01"
"2023/09/29 01:08:22.000","+2.88000E+01"
"2023/09/29 01:09:22.000","+2.87000E+01"
"2023/09/29 01:10:22.000","+2.88000E+01"
"2023/09/29 01:11:22.000","+2.88000E+01"
"2023/09/29 01:12:22.000","+2.88000E+01"
"2023/09/29 01:13:22.000","+2.88000E+01"
"2023/09/29 01:14:22.000","+2.88000E+01"
"2023/09/29 01:15:22.000","+2.88000E+01"
"2023/09/29 01:16:22.000","+2.88000E+01"
"2023/09/29 01:17:22.000","+2.87000E+01"
"2023/09/29 01:18:22.000","+2.87000E+01"
"2023/09/29 01:19:22.000","+2.88000E+01"
"2023/09/29 01:20:22.000","+2.88000E+01"
"2023/09/29 01:21:22.000","+2.88000E+01"
"2023/09/29 01:22:22.000","+2.88000E+01"
"2023/09/29 01:23:22.000","+2.88000E+01"
"2023/09/29 01:24:22.000","+2.88000E+01"
"2023/09/29 01:25:22.000","+2.88000E+01"
"2023/09/29 01:26:22.000","+2.88000E+01"
"2023/09/29 01:27:22.000","+2.88000E+01"
"2023/09/29 01:28:22.000","+2.88000E+01"
"2023/09/29 01:29:22.000","+2.87000E+01"
"2023/09/29 01:30:22.000","+2.88000E+01"
"2023/09/29 01:31:22.000","+2.88000E+01"
"2023/09/29 01:32:22.000","+2.88000E+01"
"2023/09/29 01:33:22.000","+2.87000E+01"
"2023/09/29 01:34:22.000","+2.88000E+01"
"2023/09/29 01:35:22.000","+2.88000E+01"
"2023/09/29 01:36:22.000","+2.88000E+01"
"2023/09/29 01:37:22.000","+2.88000E+01"
"2023/09/29 01:38:22.000","+2.88000E+01"
"2023/09/29 01:39:22.000","+2.88000E+01"
"2023/09/29 01:40:22.000","+2.87000E+01"
"2023/09/29 01:41:22.000","+2.87000E+01"
"2023/09/29 01:42:22.000","+2.88000E+01"
"2023/09/29 01:43:22.000","+2.88000E+01"
"2023/09/29 01:44:22.000","+2.88000E+01"
"2023/09/29 01:45:22.000","+2.88000E+01"
"2023/09/29 01:46:22.000","+2.87000E+01"
"2023/09/29 01:47:22.000","+2.88000E+01"
"2023/09/29 01:48:22.000","+2.87000E+01"
